Name,3rd Grade Math
Description,"Early math practice in 14 areas: intro to multiplication; 1-digit multiplication; addition, subtraction, and estimation; intro to division, understand fractions, equivalent fractions and comparing fractions, more with multiplication and division, arithmetic patterns and problem solving, quadrilaterals, area, perimeter, time, measurement; represent and interpret data."
Publisher,Khan Academy
Grade Level,3rd Grade
Link,https://www.khanacademy.org/math/cc-third-grade-math

Title,Description,Action,URL
Equal groups,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/v/skip-counting-equal-groups
Equal groups,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/e/equal-groups
Introduction to multiplication,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/v/introduction-to-multiplication
Understand equal groups as multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/e/understand-equal-groups-as-multiplication
Multiplication as repeated addition,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/v/multiplication-as-repeated-addition
Relate repeated addition to multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-multiplication-intro/e/relate-repeated-addition-to-multiplication
Multiplication on the number line,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-on-thnumber-line/v/multiplication-on-the-number-line
Represent multiplication on the number line,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-on-thnumber-line/e/number_line
"Unit 1, Quiz 1",,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-on-thnumber-line/quiz/intro-to-multiplication-quiz-1
Multiplication as equal groups,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiply-with-groups-of-objects/v/multiplication-intro
Understand multiplication using groups of objects,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiply-with-groups-of-objects/e/meaning-of-multiplication
Multiply using groups of objects,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiply-with-groups-of-objects/e/multiply-using-groups-of-objects
More ways to multiply,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiply-with-groups-of-objects/v/more-on-the-concept-of-multiplication
Multiplication with arrays,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-with-arrays/v/multiplication-as-groups-of-objects
Understand multiplication with arrays,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-with-arrays/e/understand-multiplication-with-arrays
Multiply with arrays,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-with-arrays/e/multiplying-with-arrays
Multiplication in real world contexts,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-in-contexts/v/when-to-use-multiplication
Multiplication in contexts,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-in-contexts/e/multiplication-in-contexts
"Unit 1, Quiz 2",,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/multiplication-in-contexts/quiz/intro-to-multiplication-quiz-2
Commutative property of multiplication,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-properties-of-multiplication/v/order-when-multiplying-commutative-property-of-multiplication
Represent the commutative property of multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-properties-of-multiplication/e/represent-the-commutative-property-of-multiplication
Understand the commutative property of multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-properties-of-multiplication/e/understand-the-commutative-property-of-multiplication
Commutative property of multiplication,,Do,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-properties-of-multiplication/e/commutative-property-of-multiplication
Intro to multiplication: FAQ,,Read,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication/imp-properties-of-multiplication/a/intro-to-multiplication-faq
