Name,3rd Grade Reading at Archive.org
Description,Read books recommended by Sarah Mackenzie's Read Aloud Revival.
Publisher,Archive.org
Grade Level,3rd Grade
Link,https://archive.org

Title,Description,Action,URL
"Read ""Cam Jansen - The Mystery at the Monkey House"" chapters 1-2",,Read,https://archive.org/details/isbn_9780606311380/mode/2up
"Read ""Cam Jansen - The Mystery at the Monkey House"" chapters 3-4",,Read,https://archive.org/details/isbn_9780606311380/page/16/mode/2up
"Read ""Cam Jansen - The Mystery at the Monkey House"" chapters 5-6",,Read,https://archive.org/details/isbn_9780606311380/page/30/mode/2up
"Read ""Cam Jansen - The Mystery at the Monkey House"" chapters 7-8",,Read,https://archive.org/details/isbn_9780606311380/page/44/mode/2up
"Read ""The Boxcar Children"" chapters 1-3",,Read,https://archive.org/details/boxcarchildren00gert/mode/2up
"Read ""The Boxcar Children"" chapters 4-6",,Read,https://archive.org/details/boxcarchildren00gert/page/34/mode/2up
"Read ""The Boxcar Children"" chapters 7-9",,Read,https://archive.org/details/boxcarchildren00gert/page/68/mode/2up
"Read ""The Boxcar Children"" chapters 10-13",,Read,https://archive.org/details/boxcarchildren00gert/page/100/mode/2up
"Read ""The Adventures of Laura and Jack"" chapters 1-3",,Read,https://archive.org/details/adventuresoflaur00wild/mode/2up
"Read ""The Adventures of Laura and Jack"" chapters 4-6",,Read,https://archive.org/details/adventuresoflaur00wild/page/22/mode/2up
"Read ""The Adventures of Laura and Jack"" chapters 7-9",,Read,https://archive.org/details/adventuresoflaur00wild/page/50/mode/2up
"Read ""The Secret Staircase"" by Jill Barklem",,Read,https://archive.org/details/secretstaircase00bark
"Read ""Spring Story"" from ""The Complete Brambly Hedge""",,Read,https://archive.org/details/book-livro-the-complete-brambly-hedge/page/n11/mode/2up
"Read ""Summer Story"" from ""The Complete Brambly Hedge""",,Read,https://archive.org/details/book-livro-the-complete-brambly-hedge/page/38/mode/2up
"Read ""Autumn Story"" from ""The Complete Brambly Hedge""",,Read,https://archive.org/details/book-livro-the-complete-brambly-hedge/page/68/mode/2up
"Read ""Winter Story"" from ""The Complete Brambly Hedge""",,Read,https://archive.org/details/book-livro-the-complete-brambly-hedge/page/98/mode/2up
"Read chapters 1-3 of ""The Absent Author"" from ""A-Z Mysteries Collection""",,Read,https://archive.org/details/tozmysteriescoll00ronr/page/n11/mode/2up
"Read chapters 4-6 of ""The Absent Author"" from ""A-Z Mysteries Collection""",,Read,https://archive.org/details/tozmysteriescoll00ronr/page/28/mode/2up
"Read chapters 7-10 of ""The Absent Author"" from ""A-Z Mysteries Collection""",,Read,https://archive.org/details/tozmysteriescoll00ronr/page/56/mode/2up
"Read ""The Edge of Extinction"" chapters 1-4",,Read,https://archive.org/details/edgeofextinction0000mart/mode/2up
"Read ""The Edge of Extinction"" chapters 5-8",,Read,https://archive.org/details/edgeofextinction0000mart/page/68/mode/2up
"Read ""The Edge of Extinction"" chapters 9-12",,Read,https://archive.org/details/edgeofextinction0000mart/page/112/mode/2up
"Read ""The Edge of Extinction"" chapters 13-16",,Read,https://archive.org/details/edgeofextinction0000mart/page/174/mode/2up
"Read ""The Edge of Extinction"" chapters 17-20",,Read,https://archive.org/details/edgeofextinction0000mart/page/236/mode/2up
"Read ""The Edge of Extinction"" chapters 21-23",,Read,https://archive.org/details/edgeofextinction0000mart/page/296/mode/2up
"Read ""The Edge of Extinction"" chapters 24-25",,Read,https://archive.org/details/edgeofextinction0000mart/page/346/mode/2up
"Read ""Adventures with Waffles"" chapters 1-4",,Read,https://archive.org/details/adventureswithwa0000parr/mode/2up
"Read ""Adventures with Waffles"" chapters 5-8",,Read,https://archive.org/details/adventureswithwa0000parr/page/42/mode/2up
"Read ""Adventures with Waffles"" chapters 9-12",,Read,https://archive.org/details/adventureswithwa0000parr/page/94/mode/2up
"Read ""Adventures with Waffles"" chapters 13-16",,Read,https://archive.org/details/adventureswithwa0000parr/page/138/mode/2up
"Read ""Adventures with Waffles"" chapters 17-20",,Read,https://archive.org/details/adventureswithwa0000parr/page/180/mode/2up
