Name,English Language Arts
Description,"Online videos and activities from TurtleDiary, Arcademics, and Mind Blooming to foster a deeper understanding of foundational knowledge about the English language."
Publisher,Various
Grade Level,5th Grade
Link,https://www.turtlediary.com/quizzes/fifth-grade/language-arts.html

Title,Description,Action,URL
"Watch: ""Nouns Part 1: What is a Noun?""",,Watch,https://youtu.be/fnCh8UexntQ?si=VD6eN6F_UETOVwgl
"Watch: ""Nouns Part 2: Common & Proper Nouns""",,Watch,https://youtu.be/ppNtch3wRJ4?si=ZDZ9PVWE48cd43w1
"Watch: ""Nouns Part 3: Singular & Plural Nouns""",,Watch,https://youtu.be/xeOXwZflwmg?si=OA21t2dvAeNPgl0x
"Watch: ""Nouns Part 4: Irregular Plural Nouns""",,Watch,https://youtu.be/sG10HhMpans?si=3AHUlI1jKMoNOG_Q
"Watch: ""Nouns Part 5: Possessive Nouns""",,Watch,https://youtu.be/EnyWRopHTuM?si=DTYx3_MAteZDVqAt
"Take Quiz: ""Identifying a Noun""",,Do,https://www.turtlediary.com/quiz/identifying-a-noun-fifth-grade.html
"Take Quiz: ""Identifying the Type of Noun""",,Do,https://www.turtlediary.com/quiz/identifying-a-noun-fifth-grade.html
"Take Quiz: ""Identifying Common and Proper Nouns""",,Do,https://www.turtlediary.com/quiz/identifying-common-and-proper-nouns-fifth-grade.html
"Take Quiz: ""Identifying Collective Nouns""",,Do,https://www.turtlediary.com/quiz/identifying-collective-nouns-fifth-grade.html
"Take Quiz: ""Identifying Count and Noncount Nouns""",,Do,https://www.turtlediary.com/quiz/identifying-count-and-noncount-nouns.html
"Take Quiz: ""Identifying an Abstract Noun""",,Do,https://www.turtlediary.com/quiz/identifying-an-abstract-noun.html
"Take Quiz: ""Identifying a Concrete Noun""",,Do,https://www.turtlediary.com/quiz/identifying-a-concrete-noun.html
"Take Quiz: ""Identifying Compound Nouns""",,Do,https://www.turtlediary.com/quiz/identifying-compound-nouns-fifth-grade.html
"Take Quiz: ""Gerunds""",,Do,https://www.turtlediary.com/quiz/identifying-gerunds.html
"Play ""Bumper Boat Bash"" on Arcademics",,Do,https://www.arcademics.com/games/bumper-boat-bash
"Watch: ""Verbs Part 1: Action verbs""",,Watch,https://youtu.be/eG9wOSM2eoQ?si=SJCyVccskQxN8k2M
"Watch: ""Verbs Part 2: Subject-Verb Agreement""",,Watch,https://youtu.be/ZqtqnNFfDXE?si=mQvr1KuPygRfJ7UY
"Watch: Verbs Part 3: Simple Verb Tenses (Past, Present, and Future Tense)""",,Watch,https://youtu.be/4Rm9l6y3-WY?si=pL4cClx5wmOsOEMW
"Watch: ""Verbs Part 4: Helping Verbs""",,Watch,https://www.youtube.com/watch?v=pefM8yrKyqg
"Watch: ""Verbs Part 5: Linking Verbs""",,Watch,https://youtu.be/B2r4LBm6RZU?si=YNev7x4lt0JRmyzW
