Name,"Whole Numbers, Decimals, Fractions, and Geometry"
Description,"Math covering whole number operations, algebraic reasoning, financial literacy, decimal place value, adding and subtracting decimals, decimal multiplication and division, fractions, geometry, measurement, volume, perimeter, area, and patterns on a coordinate plane."
Publisher,Khan Academy
Grade Level,5th Grade
Link,https://www.khanacademy.org/math/grade-5-math-tx

Title,Description,Action,URL
Estimating multi-digit sums,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/v/estimating-multi-digit-sums
Estimate to add multi-digit numbers,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/e/estimate-to-add-multi-digit-numbers
Estimating to subtract multi-digit numbers,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/v/estimating-to-subtract-multi-digit-numbers
Estimate to subtract multi-digit numbers,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/e/estimate-to-subtract-multi-digit-numbers
Estimating multi-digit addition and subtraction word problems,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/v/estimating-multi-digit-addition-and-subtraction-word-problems
Multi-digit addition and subtraction estimation word problems,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/e/multi-digit-addition-subtraction-estimation-word-problems
Unit 1: Quiz 1,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-addition-and-subtraction-whole-numbers/quiz/x630b35db1de6a0df:extending-whole-number-operations-quiz-1?referrer=upsell
Relate place value to standard algorithm for multi-digit addition,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:add-subtract-whole-numbers/v/adding-multi-digit-numbers-with-regrouping
"Adding multi-digit numbers: 48,029+233,930",,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:algebraic-reasoning/x630b35db1de6a0df:factors-and-multiples/v/understanding-factor-pairs
Multi-digit addition,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:add-subtract-whole-numbers/e/multi-digit-addition
"Multi-digit subtraction: 389,002-76,151",,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:add-subtract-whole-numbers/v/subtracting-multi-digit-numbers-with-regrouping
Multi-digit subtraction,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:add-subtract-whole-numbers/e/multi-digit-subtraction
Unit 1: Quiz 2,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:add-subtract-whole-numbers/quiz/x630b35db1de6a0df:extending-whole-number-operations-quiz-2?referrer=upsell
"Strategies for multiplying multiples of 10, 100 and 1000",,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/v/strategies-for-multiplying-multiples-of-10-100-and-1000
Multiply by taking out factors of 10,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/e/multiplying-by-taking-out-factors-of-10
Estimating multi-digit multiplication,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/v/estimate-multiplying-multi-digit-numbers
Estimate multi-digit multiplication,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/e/estimate-multi-digit-multiplication-problems
Estimating multi-digit multiplication word problems,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/v/estimating-multi-digit-multiplication-word-problems
Multi-digit multiplication estimation word problems,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/e/multi-digit-multiplication-estimation-word-problems
Unit 1: Quiz 3,,Do,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:estimate-multi-digit-multiplication/quiz/x630b35db1de6a0df:extending-whole-number-operations-quiz-3
Relate multiplication with area models to the standard algorithm,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:multi-digit-multiplication/v/multiplying-using-area-models-and-the-standard-algorithm
Intro to standard way of multiplying multi-digit numbers,,Watch,https://www.khanacademy.org/math/grade-5-math-tx/x630b35db1de6a0df:extending-whole-number-operations/x630b35db1de6a0df:multi-digit-multiplication/v/intro-to-standard-way-of-multiplying-multi-digit-numbers
