Name,6th Grade Math
Description,"A comprehensive 6th grade math curriculum covering ratios, rates, percents, fractions, decimals, negative numbers, expressions, equations, inequalities, coordinate planes, geometry, measurement, data analysis, and personal financial literacy. All content from Khan Academy."
Publisher,Khan Academy
Grade Level,6th Grade
Link,https://www.khanacademy.org/math/grade-6-math-tx

Title,Description,Action,URL
Intro to ratios,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/v/ratios-intro
Basic ratios,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/v/ratio-example-problems
Part:whole ratios,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/v/ratios-as-fractions
Basic ratios,,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/e/representing-ratios
Ratios as Fractions and Decimals,,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/e/ratios-fractions-decimals
Ratio review,,Read,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/a/intro-to-ratios
"Unit 1, Quiz 1",,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:intro-to-ratios/quiz/x3931b57772b927b3:proportional-reasoning-ratios-rates-quiz-1
Ratios with tape diagrams,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/v/ratios-with-tape-diagrams
Ratios with tape diagrams (part:whole),,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/v/ratios-with-tape-diagrams-partwhole
Ratios with tape diagrams,,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/e/ratios-with-tape-diagrams
Equivalent ratio word problems,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/v/ratio-word-problem-examples
Simplify a ratio from a tape diagram,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/v/simplify-a-ratio-from-a-tape-diagram
Equivalent ratios with equal groups,,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/e/equivalent-ratio-word-problems--basic-
Ratios and double number lines,,Watch,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/v/ratios-and-double-number-lines
Create double number lines,,Do,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates/x3931b57772b927b3:visualize-equivalent-ratios/e/create-double-number-lines
