Name,A Library to Build Great Americans (Ages 3-7)
Description,"A curated reading curriculum of 1,294 readings for ages 3-7, including 1,169 short stories broken out from classic anthologies, 76 chapter books, 37 picture books, and 12 whole collections. Based on the Educated and Free book list."
Publisher,Various
Grade Level,Elementary
Link,

Title,Description,Action,URL
A Great Grief,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A grieving man learns that even the deepest sorrow can be transformed through the passage of time.,Read,https://bookshop.org/a/120542/9781626860995
A Leaf from the Sky,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A leaf falls from heaven carrying blessings and takes root in unexpected soil.,Read,https://bookshop.org/a/120542/9781626860995
A Picture-Book Without Pictures,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The moon narrates a series of vivid scenes glimpsed through windows each night; telling stories of life below.,Read,https://bookshop.org/a/120542/9781626860995
A Picture from the Fortress Wall,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A brief sketch captures a moment of life and memory seen from the old fortress wall.,Read,https://bookshop.org/a/120542/9781626860995
A Rose from the Grave of Homer,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A nightingale sings over Homer's grave and from it springs the most beautiful rose in the world.,Read,https://bookshop.org/a/120542/9781626860995
A Story,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A tale about the nature of stories themselves and how even the simplest events can hold deep meaning.,Read,https://bookshop.org/a/120542/9781626860995
A Story from the Sand-Dunes,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A shipwrecked young man is raised among the sand dunes of Jutland and searches for love and belonging across years of wandering.,Read,https://bookshop.org/a/120542/9781626860995
A String of Pearls,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A journey through Denmark's regions is told as a string of pearls; each pearl representing a different town or landscape.,Read,https://bookshop.org/a/120542/9781626860995
Anne Lisbeth,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A woman who abandoned her child is haunted by guilt and ultimately confronts the consequences of her choices.,Read,https://bookshop.org/a/120542/9781626860995
Auntie,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A beloved aunt who adores the theater shares her passion and memories in a warm; humorous portrait.,Read,https://bookshop.org/a/120542/9781626860995
Auntie Toothache,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A young man suffering from a terrible toothache receives a visit from his auntie; who tells the strange story of how the pain became a tale.,Read,https://bookshop.org/a/120542/9781626860995
Brownie and the Dame,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A household brownie must choose between his love of poetry and his love of porridge when the dame's house catches fire.,Read,https://bookshop.org/a/120542/9781626860995
By the Almshouse Window,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. An old woman gazes out the almshouse window and reflects on the joys and sorrows of her long life.,Read,https://bookshop.org/a/120542/9781626860995
Charming,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A prince sets out to find the most charming thing in the world and discovers it in an unexpected place.,Read,https://bookshop.org/a/120542/9781626860995
Children's Prattle,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The innocent remarks of children reveal truths that adults would prefer to keep hidden.,Read,https://bookshop.org/a/120542/9781626860995
Everything in Its Right Place,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Over generations; the social order of a village is upended as those once considered lowly rise and the proud are humbled.,Read,https://bookshop.org/a/120542/9781626860995
Five Out of One Pod,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Five peas in a pod each dream of a different destiny; and one ends up bringing hope to a sick girl.,Read,https://bookshop.org/a/120542/9781626860995
Godfather's Picture-Book,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A godfather tells the history of Copenhagen through the pages of a magical picture book.,Read,https://bookshop.org/a/120542/9781626860995
Good Humour,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A story about how good humour and a cheerful outlook can transform even the dreariest circumstances.,Read,https://bookshop.org/a/120542/9781626860995
Good Luck Can Lie in a Pin,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A simple pin brings unexpected fortune to its finder; proving that luck can hide in the smallest things.,Read,https://bookshop.org/a/120542/9781626860995
Grandmother,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A child remembers a beloved grandmother who has passed away; finding comfort in the belief that she watches from heaven.,Read,https://bookshop.org/a/120542/9781626860995
Great Claus and Little Claus,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Clever Little Claus outwits greedy Great Claus again and again in this darkly comic tale of trickery and comeuppance.,Read,https://bookshop.org/a/120542/9781626860995
Great-Grandfather,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A family gathers to hear stories of their great-grandfather and reflects on how times have changed across the generations.,Read,https://bookshop.org/a/120542/9781626860995
Hidden Is Not Forgotten,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A tale about how acts of kindness and love are never truly lost; even when they seem forgotten by the world.,Read,https://bookshop.org/a/120542/9781626860995
Holger the Dane,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The legendary Danish hero Holger Danske sleeps beneath Kronborg Castle; ready to awaken when Denmark needs him most.,Read,https://bookshop.org/a/120542/9781626860995
Ib and Christine,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Childhood sweethearts Ib and Christine are separated by fate and fortune; each following a very different path through life.,Read,https://bookshop.org/a/120542/9781626860995
In a Thousand Years,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A vision of the future imagines travelers flying from America to Europe in a single day a thousand years hence.,Read,https://bookshop.org/a/120542/9781626860995
In the Duck-Yard,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A proud Portuguese duck holds court in the duck-yard; where vanity and gossip rule among the barnyard birds.,Read,https://bookshop.org/a/120542/9781626860995
In the Nursery,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Toys come alive in the nursery at night and put on a play; but their little drama does not end as planned.,Read,https://bookshop.org/a/120542/9781626860995
In the Uttermost Parts of the Sea,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Deep beneath the ocean; the sea creatures celebrate in a way that mirrors and mocks the world above the waves.,Read,https://bookshop.org/a/120542/9781626860995
It's Quite True!,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A hen loses a small feather and the story is exaggerated from creature to creature until it becomes a scandalous tale.,Read,https://bookshop.org/a/120542/9781626860995
Jack the Dullard,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A cheerful simpleton wins the princess by being bold and witty where his clever brothers fail.,Read,https://bookshop.org/a/120542/9781626860995
Little Ida's Flowers,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Little Ida believes her wilting flowers go to a secret ball at night; and one evening she sees them dance.,Read,https://bookshop.org/a/120542/9781626860995
Little Tuk,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A boy who falls asleep over his lessons is carried away on a magical dream journey through the cities and history of Denmark.,Read,https://bookshop.org/a/120542/9781626860995
Ole Luk-Oie,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The Sandman visits a boy each night for a week; opening a magical umbrella that brings wonderful dreams and stories.,Read,https://bookshop.org/a/120542/9781626860995
Ole the Tower-Keeper,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. An old tower-keeper reflects on his life of solitude high above the city and the wisdom he has gained from watching the world below.,Read,https://bookshop.org/a/120542/9781626860995
On the Last Day,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. On the day of judgment; a soul reviews its life and discovers what truly mattered in the end.,Read,https://bookshop.org/a/120542/9781626860995
Peter Pete and Peterkin,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Three Peters with very different characters each make their way through life; showing how temperament shapes destiny.,Read,https://bookshop.org/a/120542/9781626860995
Poultry Meg's Family,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The fortunes of a poultry-keeper's family rise and fall across generations in a story about pride and humble origins.,Read,https://bookshop.org/a/120542/9781626860995
Removing-Day,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. On moving day in Copenhagen; the chaos and upheaval of the annual household shuffle reveals the comedy and sadness of city life.,Read,https://bookshop.org/a/120542/9781626860995
She Was Good for Nothing,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A washerwoman is dismissed as worthless by the town; but her hard work and devotion to her child tell a different story.,Read,https://bookshop.org/a/120542/9781626860995
Something,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Five brothers each set out to prove they can become 'something' in the world; and the one who builds something useful for others succeeds best.,Read,https://bookshop.org/a/120542/9781626860995
Soup on a Sausage-Peg,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Four mice travel the world seeking the secret of making soup from a sausage peg; each returning with a fantastical recipe.,Read,https://bookshop.org/a/120542/9781626860995
Sunshine's Stories,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The sunshine itself narrates stories of what its rays have witnessed shining into different lives around the world.,Read,https://bookshop.org/a/120542/9781626860995
The A.B.C. Book,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Each letter of the alphabet introduces a verse celebrating the wonder and variety of the world.,Read,https://bookshop.org/a/120542/9781626860995
The Angel,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. An angel carries a dead child to heaven; gathering flowers along the way whose stories reveal the beauty in humble things.,Read,https://bookshop.org/a/120542/9781626860995
The Beetle,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A vain beetle who once lived in the emperor's stable travels the world convinced of his own greatness.,Read,https://bookshop.org/a/120542/9781626860995
The Bell,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A mysterious bell rings from the forest and those who seek its source discover the sublime beauty of nature.,Read,https://bookshop.org/a/120542/9781626860995
The Bell-Deep,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A sunken church bell beneath the river still rings; and those who listen can hear its stories of the town's past.,Read,https://bookshop.org/a/120542/9781626860995
The Bird of Popular Song,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The bird of popular song flies through the world; landing wherever the spirit of folk music and poetry lives.,Read,https://bookshop.org/a/120542/9781626860995
The Bishop of Börglum and His Kinsmen,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A powerful medieval bishop rules with an iron hand until fate and justice catch up with his cruelty.,Read,https://bookshop.org/a/120542/9781626860995
The Bond of Friendship,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A Danish artist traveling in Greece forges a bond with a young Greek man; and the friendship endures across distance and death.,Read,https://bookshop.org/a/120542/9781626860995
The Bottle-Neck,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A bottle-neck tells the story of its many adventures; from holding fine wine at a celebration to ending up as a bird's drinking cup.,Read,https://bookshop.org/a/120542/9781626860995
The Buckwheat,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A proud stalk of buckwheat refuses to bow before the storm and is scorched by lightning for its vanity.,Read,https://bookshop.org/a/120542/9781626860995
The Butterfly,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A butterfly searches for the perfect flower to marry but waits so long that he ends up pinned in a collector's case.,Read,https://bookshop.org/a/120542/9781626860995
The Candles,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Two candles—one of tallow and one of beeswax—argue about their worth; revealing that true value comes from the light you give.,Read,https://bookshop.org/a/120542/9781626860995
The Child in the Grave,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A grieving mother sits by her child's grave and is shown that her sorrow; if unchecked; could harm the child's peace in heaven.,Read,https://bookshop.org/a/120542/9781626860995
The Comet,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A comet appears in the sky and the people below react with wonder; fear; and foolishness.,Read,https://bookshop.org/a/120542/9781626860995
The Cripple,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A crippled boy receives a book of fairy tales that transforms his inner world and gives him strength beyond his broken body.,Read,https://bookshop.org/a/120542/9781626860995
The Daisy,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A humble daisy loves the lark that sings above it; but both are helpless against the cruelty of thoughtless boys who cage the bird.,Read,https://bookshop.org/a/120542/9781626860995
The Darning-Needle,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A vain darning-needle is convinced she is a fine sewing-needle and narrates her increasingly absurd misadventures after being lost.,Read,https://bookshop.org/a/120542/9781626860995
The Days of the Week,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The seven days of the week gather for a party and each boasts about why it is the most important day.,Read,https://bookshop.org/a/120542/9781626860995
The Door-Key,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A magical door-key reveals hidden truths about anyone who touches it; exposing secrets and surprising its owners.,Read,https://bookshop.org/a/120542/9781626860995
The Drop of Water,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. An old man looks at a drop of ditch water through a magnifying glass and sees tiny creatures fighting viciously—only to learn it is the city of Copenhagen.,Read,https://bookshop.org/a/120542/9781626860995
The Dryad,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A dryad bound to her tree longs to see Paris during the 1867 World Exhibition; and her wish is granted at a terrible cost.,Read,https://bookshop.org/a/120542/9781626860995
The Dumb Book,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. A pressed flower inside an old book silently tells the story of the love and heartbreak it once witnessed.,Read,https://bookshop.org/a/120542/9781626860995
The Elder Tree Mother,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. An old man drinks elder tea and a spirit emerges from the pot; telling stories of memory; youth; and the passage of time.,Read,https://bookshop.org/a/120542/9781626860995
The Elf-Hill,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. The elf king prepares a grand feast inside the hill to entertain visiting trolls and goblins in this lively supernatural comedy.,Read,https://bookshop.org/a/120542/9781626860995
The Emperor's New Clothes,From The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen. Two swindlers convince a vain emperor they have made him a magnificent suit visible only to the wise; until a child reveals the truth.,Read,https://bookshop.org/a/120542/9781626860995
