Name,Advanced Picture Books at Archive.org
Description,"Read high-level picture books that feature advanced vocabulary, longer sentences, and complex ideas - many of them with a science focus."
Publisher,Archive.org
Grade Level,6th Grade
Link,https://archive.org

Title,Description,Action,URL
"Read ""The Three Astronauts"" by Umberto Eco",,Read,https://archive.org/details/threeastronauts0000ecou
"Read ""Sabertooth"" by Patrick O'Brien",,Read,https://archive.org/details/sabertooth0000obri/mode/2up
"Read ""Megatooth"" by Patrick O'Brien",,Read,https://archive.org/details/megatooth00obri
"Read ""Where is Rusty?"" by Sieb Posthuma",,Read,https://archive.org/details/whereisrusty0000post/mode/2up
"Read ""Around the World in 80 Days"" by John Burningham",,Read,https://archive.org/details/aroundworldineig0000burn/mode/2up
"Read ""The Boy Who Was Always Late"" by John Burningham",,Read,https://archive.org/details/isbn_9780375952203
"Read ""Borka: The Adventures of a Goose with No Feathers"" by John Burningham",,Read,https://archive.org/details/borka0000burn/mode/2up
"Read ""Humbert"" by John Burningham",,Read,https://archive.org/details/humbert0000burn/mode/2up
"Read ""Gentleman Jim"" by Raymond Briggs",,Read,https://archive.org/details/gentlemanjim0000brig/mode/2up
"Read ""When the Wind Blows"" by Raymond Briggs",,Read,https://archive.org/details/whenwindblows00brig/mode/2up
"Read ""The Tin-Pot Foreign General and the Old Iron Woman"" by Raymond Briggs",,Read,https://archive.org/details/tinpotforeigngen0000brig
"Read ""Shackleton's Epic Voyage"" by Michael Brown",,Read,https://archive.org/details/shackletonsepicv00brow/mode/2up
"Read ""Findus disappears!"" by Sven Nordqvist",,Read,https://archive.org/details/findusdisappears0000nord
"Read ""The Fox Chase"" by Sven Nordqvist",,Read,https://archive.org/details/foxchase0000nord/mode/2up
"Read ""The Birthday Cake"" by Sven Nordqvist",,Read,https://archive.org/details/birthdaycake0000nord
"Read ""The Tomten""",,Read,https://archive.org/details/tomten00astr/mode/2up
"Read ""The Tomten and the Fox"" by Astrid Lindgren",,Read,https://archive.org/details/tomtenfox0000unse
"Read ""In the Land of Twilight"" by Astrid Lindgren",,Read,https://archive.org/details/inlandoftwilight0000lind
"Read ""Goran's Great Escape"" by Astrid Lindgren",,Read,https://archive.org/details/goransgreatescap0000lind
"Read ""Dr. Xargle's Book of Earthlets""",,Read,https://archive.org/details/drxarglesbookofe0000will_a2c9/mode/2up
"Read ""The Pet Person"" by Jeanne Willis",,Read,https://archive.org/details/petperson0000will_l2i4
"Read ""Old Dog"" by Jeanne Willis",,Read,https://archive.org/details/olddog0000will/mode/2up
"Read ""Higglety Pigglety Pop! or There Must Be More to Life"" by Maurice Sendak",,Read,https://archive.org/details/higgletypigglett0000unse
"Read ""The Happy Owls"" by Celestino Piatti",,Read,https://archive.org/details/happyowls0000cele
"Read ""The Hindenburg"" by Patrick O'Brien",,Read,https://archive.org/details/hindenburg0000obri_n1r2
"Read ""The Bomb and the General"" by Umberto Eco",,Read,https://archive.org/details/bombgeneral0000ecou
"Read ""The Three Robbers"" by Tomi Ungerer",,Read,https://archive.org/details/threerobbers00unge
