Name,K-8 American History
Description,"A chronological journey through American history in 214 hand-picked picture books and videos, from first contact to the present day."
Publisher,Chief Clanker
Grade Level,Any
Link,https://chiefclanker.com/american-history/

Title,Description,Action,URL
Follow the Dream: The Story of Christopher Columbus by Peter Sís,Christopher Columbus overcomes many obstacles to fulfill his dream of sailing west in 1492 to find a new route to the Orient.,Read,https://archive.org/details/followdreamstory0000sisp/mode/2up
The Travels of John and Sebastian Cabot by Joanne Mattern,"In May 1497 John Cabot sails from Bristol, England aboard the Matthew and reaches the North American coast, winning England its first foothold in the new world. His son Sebastian's own voyages of exploration came later.",Read,https://archive.org/details/travelsofjohnseb0000matt/mode/2up
Amerigo Vespucci: A Primary Source Biography by Lynn Hoogenboom,"In 1499 Amerigo Vespucci makes his first certain voyage to the New World, exploring the coast of South America. His conclusion that these lands were a new continent rather than the edge of Asia is why the Americas carry his name.",Read,https://archive.org/details/amerigovespuccip0000hoog/mode/2up
Ponce de Leon by Historycentral,"On April 3, 1513 Ponce de León claims Florida for Spain. His 1521 attempt to settle it with 200 colonists ends in failure after a native attack.",Watch,https://youtu.be/jKs_pdWwKUQ
The Incredible Journey of Cabeza De Vaca (1527-1536) by History Time,"In 1536 four gaunt survivors of the doomed 1527 Narváez expedition reach a Spanish outpost in Mexico, having walked across North America for eight years.",Watch,https://youtu.be/P_ozbidkNZo
Hernando de Soto crossing the Mississippi River 1539-42 Spanish explorer & conquistador by TIMELINE,"Landing in Florida in 1539, the conquistador's expedition pushes through the Southeast and in June 1541 becomes the first Europeans to cross the Mississippi River.",Watch,https://youtu.be/CNRACGW66gQ?t=27
The Cherokees by Virginia Driving Hawk Sneve,"The Cherokee enter written history in 1540, when Hernando de Soto's Spanish expedition marches through their Southern Appalachian homeland.",Read,https://archive.org/details/cherokees00snev/mode/2up
The Coronado Expedition: Coronado National Memorial by Coronado NPS,"From 1540 to 1542 Coronado searches the Southwest for the fabled Seven Cities of Gold. He finds none, but his men become the first Europeans to see the Grand Canyon.",Watch,https://youtu.be/VIQEvtkOeeo
The Hopis by Virginia Driving Hawk Sneve,"The Hopi enter written history in 1540, when Coronado sends Pedro de Tovar to their mesa-top villages, the first Europeans to reach them.",Read,https://archive.org/details/hopis00snev/mode/2up
The Apaches by Virginia Driving Hawk Sneve,"The Apache enter written history in 1541, when Coronado's expedition records the Querechos, bison hunters of the plains later known as Apache.",Read,https://archive.org/details/isbn_9780823412877/mode/2up
"Extraordinary Claims, Extraordinary Evidence: Suya, The Southwest's First European Settlement by Deni Seymour","In 1541 the Coronado expedition builds Suya in southern Arizona, the first European settlement in the American Southwest, ended by a Native uprising.",Watch,https://youtu.be/d5UbXo9bSi0
Scientists Finally Solved The Roanoke Colony Mystery - After 400 Years by First Humans,In 1590 Governor John White returns to Roanoke to find the colony vanished and Croatan carved on a post. Recent digs suggest the settlers assimilated with Native tribes.,Watch,https://youtu.be/cUc3uz9RmCA
Blue Feather's Vision: The Dawn of Colonial America by James E. Knight,An aged Massachuset chief recalls meeting English strangers in 1591 and knowing that his people's encounters with them would bring immense change and difficulty.,Read,https://archive.org/details/bluefeathersvisi00knig/mode/2up
The Acoma Pueblo and Juan de Oñate by MediaEngineers,"In 1598 Juan de Oñate brings the first permanent horse herds to what would become New Mexico. Those settlement horses became a constant target for Native raiders, spreading the horse across the American interior.",Watch,https://youtu.be/FUdGJ9WyvkU
Jamestown: New World Adventure by James E. Knight,Two English children are told the story of their grandfather's experiences as one of the original Jamestown colonists of 1607.,Read,https://archive.org/details/jamestownnewworl00knig/mode/2up
The Iroquois by Virginia Driving Hawk Sneve,"The Haudenosaunee enter written history in 1609, when Samuel de Champlain fights and describes the Confederacy on the lake that now bears his name.",Read,https://archive.org/details/isbn_9780823411634/mode/2up
If You Sailed on the Mayflower by Ann McGovern,Imagine being a Pilgrim child on the Mayflower's 1620 crossing and during the colony's first winter.,Read,https://archive.org/details/ifyousailedon00mcgo
"This Is America, Charlie Brown: The Mayflower Voyagers","The Peanuts gang sails with the Pilgrims aboard the Mayflower in 1620, endures the first hard winter at Plymouth, and shares in the first Thanksgiving with the Wampanoag.",Watch,https://archive.org/details/AmericaCharlieBrown/Mayflower%20Voyagers.mp4
The Navajos by Virginia Driving Hawk Sneve,"The Navajo enter written history in 1626, when the Spanish friar Zárate Salmerón first names the Apaches de Nabajó in his account of New Mexico.",Read,https://archive.org/details/isbn_9780823410392/mode/2up
The Pueblo Revolt by PBS LearningMedia,"In 1680 the Pueblos, united under Popé, drove the Spanish out of New Mexico for twelve years. The horses left behind spread north, igniting the Plains horse culture.",Watch,https://www.pbslearningmedia.org/resource/fyr12.socst.us.const.puebrev/the-pueblo-revolt/
The Cheyennes by Virginia Driving Hawk Sneve,"The Cheyenne enter written history in 1680, first noted as the Chaa when a party of them visits La Salle's Fort Crévecoeur on the Illinois River.",Read,https://archive.org/details/cheyennes00snev/mode/2up
The Sioux by Virginia Driving Hawk Sneve,"In 1683 the Sioux enter written history, when Father Louis Hennepin publishes the first detailed European account of the Dakota after living as their captive.",Read,https://archive.org/details/sioux00snev/mode/2up
Alice Ray and the Salem Witch Trials by Shannon Knudsen,"In 1692, a girl named Alice Ray watches fear and accusation sweep through her Massachusetts village during the Salem witch trials.",Read,https://archive.org/details/aliceraysalemwit0000knud/mode/2up
The Comanche and the Horse | Native America | Sacred Stories by PBS,"The mounted warrior is an iconic image, yet no Native American saw a horse until Europeans brought them. The Comanche turned the horse into a powerful ally and honored it as a relative, a gift from the Creator.",Watch,https://youtu.be/MRXXvm-zKTY
"Struggle for a Continent: The French and Indian Wars, 1689-1763 by Betsy and Giulio Maestro","Britain and France battle for North America for decades, ending in the French and Indian War of 1754 to 1763, which drove France from the continent.",Read,https://archive.org/details/struggleforconti0000maes/mode/2up
The Seminoles by Virginia Driving Hawk Sneve,"The Seminole enter written history around 1765, when colonists first apply the name Seminole to the Native peoples gathering in Florida.",Read,https://archive.org/details/seminoles00snev/mode/2up
If You Lived in Williamsburg in Colonial Days by Barbara Brenner,"See how a child lived, played, and worked in Williamsburg in 1770, just before the American Revolution.",Read,https://archive.org/details/ifyoulivedinwill0000unse
Colonial Voices: Hear Them Speak by Kay Winters,"On December 16, 1773, Ethan, a fictional printer's errand boy, races through Boston carrying news of the rebellious meeting that will lead to the Tea Party.",Read,https://archive.org/details/colonialvoiceshe00wint
Joining the Boston Tea Party by Diane Stanley,Time-traveling twins step into Boston in 1773 and take part in the protest now called the Boston Tea Party.,Read,https://archive.org/details/joiningbostontea0000stan
A Picture Book of Paul Revere by David A. Adler,"Follow Revere from his boyhood in a Boston silversmith's family to the midnight ride of April 18, 1775, warning that British troops were advancing.",Read,https://archive.org/details/picturebookofpau00adle/mode/2up
The Journey of the One and Only Declaration of Independence by Judith St. George,"See how this 1776 document survived eight wars and traveled by horse, boat, train, and tank before reaching the National Archives.",Read,https://archive.org/details/journeyofoneonly0000stge
The Story of the Liberty Bell by Natalie Miller,"Cast in 1752 for the Pennsylvania State House, the bell rang through the years of independence, later cracked and fell silent, and was renamed the Liberty Bell by Americans working to end slavery.",Read,https://archive.org/details/isbn_9780516446226/page/n39/mode/2up
"Saving the Liberty Bell by Megan McDonald, illustrated by Marsha Gray Carrington","In 1777, as British troops march on Philadelphia, patriots load the great bell onto a wagon and haul it north to hide it, keeping it from being melted down into cannon.",Read,https://archive.org/details/savinglibertybel00mcdo/mode/2up
