Name,Middle-Grade Reading at Archive.org
Description,Read middle grade books recommended by Sarah Mackenzie's Read Aloud Revival.
Publisher,Archive.org
Grade Level,5th Grade
Link,https://archive.org

Title,Description,Action,URL
"Read ""Gooseberry Park"" chapters 1-4",,Read,https://archive.org/details/isbn_9781435272668/mode/2up
"Read ""Gooseberry Park"" chapters 5-8",,Read,https://archive.org/details/isbn_9781435272668/page/30/mode/2up
"Read ""Gooseberry Park"" chapters 9-12",,Read,https://archive.org/details/isbn_9781435272668/page/52/mode/2up
"Read ""Gooseberry Park"" chapters 13-16",,Read,https://archive.org/details/isbn_9781435272668/page/84/mode/2up
"Read ""Gooseberry Park"" chapters 17-19",,Read,https://archive.org/details/isbn_9781435272668/page/112/mode/2up
"Read ""The Edge of Extinction"" chapters 1-4",,Read,https://archive.org/details/edgeofextinction0000mart/mode/2up
"Read ""The Edge of Extinction"" chapters 5-8",,Read,https://archive.org/details/edgeofextinction0000mart/page/68/mode/2up
"Read ""The Edge of Extinction"" chapters 9-12",,Read,https://archive.org/details/edgeofextinction0000mart/page/112/mode/2up
"Read ""The Edge of Extinction"" chapters 13-16",,Read,https://archive.org/details/edgeofextinction0000mart/page/174/mode/2up
"Read ""The Edge of Extinction"" chapters 17-20",,Read,https://archive.org/details/edgeofextinction0000mart/page/236/mode/2up
"Read ""The Edge of Extinction"" chapters 21-23",,Read,https://archive.org/details/edgeofextinction0000mart/page/296/mode/2up
"Read ""The Edge of Extinction"" chapters 24-25",,Read,https://archive.org/details/edgeofextinction0000mart/page/346/mode/2up
"Read ""Adventures with Waffles"" chapters 1-4",,Read,https://archive.org/details/adventureswithwa0000parr/mode/2up
"Read ""Adventures with Waffles"" chapters 5-8",,Read,https://archive.org/details/adventureswithwa0000parr/page/42/mode/2up
"Read ""Adventures with Waffles"" chapters 9-12",,Read,https://archive.org/details/adventureswithwa0000parr/page/94/mode/2up
"Read ""Adventures with Waffles"" chapters 13-16",,Read,https://archive.org/details/adventureswithwa0000parr/page/138/mode/2up
"Read ""Adventures with Waffles"" chapters 17-20",,Read,https://archive.org/details/adventureswithwa0000parr/page/180/mode/2up
"Read ""The Original Adventures of Hank the Cowdog"" chapters 1-4",,Read,https://archive.org/details/originaladventur00eric/page/n1/mode/2up
"Read ""The Original Adventures of Hank the Cowdog"" chapters 5-8",,Read,https://archive.org/details/originaladventur00eric/page/44/mode/2up
"Read ""The Original Adventures of Hank the Cowdog"" chapters 9-12",,Read,https://archive.org/details/originaladventur00eric/page/92/mode/2up
"Read ""Because of Winn-Dixie"" chapters 1-4",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/mode/2up
"Read ""Because of Winn-Dixie"" chapters 5-8",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/30/mode/2up
"Read ""Because of Winn-Dixie"" chapters 9-12",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/60/mode/2up
"Read ""Because of Winn-Dixie"" chapters 13-16",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/86/mode/2up
"Read ""Because of Winn-Dixie"" chapters 17-20",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/110/mode/2up
"Read ""Because of Winn-Dixie"" chapters 21-24",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/142/mode/2up
"Read ""Because of Winn-Dixie"" chapters 25-26",,Read,https://archive.org/details/becauseofwinndix0000dica_o1f4/page/168/mode/2up
"Read ""Astrid the Unstoppable"" introduction and chapters 1-4",,Read,https://archive.org/details/astridunstoppabl0000parr/mode/2up
"Read ""Astrid the Unstoppable"" chapters 4-8",,Read,https://archive.org/details/astridunstoppabl0000parr/page/48/mode/2up
"Read ""Astrid the Unstoppable"" chapters 9-12",,Read,https://archive.org/details/astridunstoppabl0000parr/page/88/mode/2up
"Read ""Astrid the Unstoppable"" chapters 13-16",,Read,https://archive.org/details/astridunstoppabl0000parr/page/138/mode/2up
"Read ""Astrid the Unstoppable"" chapters 17-20",,Read,https://archive.org/details/astridunstoppabl0000parr/page/166/mode/2up
"Read ""Astrid the Unstoppable"" chapters 21-24",,Read,https://archive.org/details/astridunstoppabl0000parr/page/208/mode/2up
"Read ""Astrid the Unstoppable"" chapters 25-28",,Read,https://archive.org/details/astridunstoppabl0000parr/page/244/mode/2up
"Read ""Astrid the Unstoppable"" chapters 29-32",,Read,https://archive.org/details/astridunstoppabl0000parr/page/286/mode/2up
