Name,Reading at Archive.org
Description,Read classic children's stories from the Read it Yourself Ladybird library.
Publisher,Archive.org
Grade Level,1st Grade
Link,https://archive.org/search?query=read+it+yourself+with+ladybird

Title,Description,Action,URL
"Read ""Put Me in the Zoo"" by Robert Lopshire",,Read,https://archive.org/details/putmeinzoo0000unse/mode/2up
"Read ""One Fish Two Fish Red Fish Blue Fish"" by Dr. Seuss",,Read,https://archive.org/details/onefishtwofishre0000unse_k3n1
"Read ""The Cat in the Hat""",,Read,https://archive.org/details/completecatinhat0000seus_f6j7
"Read ""Green Eggs and Ham"" by Dr. Seuss",,Read,https://archive.org/details/greeneggsham0000unse
"Read ""A Big Ball of String""",,Read,https://archive.org/details/bigballofstring00holl
"Read ""The Best Trick"" by Gwendolyn Hooks",,Read,https://archive.org/details/besttrickpetclub0000hook
"Read ""A Fly Went By"" by Mike McClintock",,Read,https://archive.org/details/flywentby0000mccl
"Read ""I Wish that I Had Duck Feet"" by Dr. Seuss",,Read,https://archive.org/details/iwishthatihadduc0000lesi
"Read ""Little Red Hen""",,Read,https://archive.org/details/littleredhen0000unse_h1v4
"Read ""The Emperor's New Clothes""",,Read,https://archive.org/details/emperorsnewcloth0000unse_k4w6
"Read ""The Ugly Duckling""",,Read,https://archive.org/details/uglyduckling0000unse_e9x4
"Read ""Little Creatures""",,Read,https://archive.org/details/littlecreatures0000hors
"Read ""Sports Day""",,Read,https://archive.org/details/sportsday0000hors
"Read ""The Enormous Turnip""",,Read,https://archive.org/details/the-enormous-turnip/mode/2up
"Read ""The Big Pancake""",,Read,https://archive.org/details/the-big-pancake_202306
"Read ""The Magic Porridge Pot""",,Read,https://archive.org/details/the-magic-porridge-pot_202306
"Read ""The Three Billy Goats Gruff""",,Read,https://archive.org/details/the-three-billy-goats-gruff_202306
"Read ""The Princess and the Pea""",,Read,https://archive.org/details/the-princess-and-the-pea_202306
"Read ""Goldilocks and the Three Bears""",,Read,https://archive.org/details/goldilocks-and-the-three-bears-read-it-yourself-with-ladybird-level-1
"Read ""Peanuts Best Friends""",,Read,https://archive.org/details/peanuts-best-friends
"Read ""Going Boating""",,Read,https://archive.org/details/peppa-pig-.-going-boating-read-it-yourself-with-ladybird-level-1
"Read ""The Family Computer""",,Read,https://archive.org/details/peppa-pig-.-the-family-computer-read-it-yourself-with-ladybird-level-1
"Read ""Fun at the Fair""",,Read,https://archive.org/details/peppa-pig-.-fun-at-the-fair-read-it-yourself-with-ladybird-level-1
"Read ""Why Giraffe has a Long Neck""",,Read,https://archive.org/details/tinga-tinga-tales-.-why-giraffe-has-a-long-neck-read-it-yourself-with-ladybird-level-1
"Read ""Sleeping Beauty""",,Read,https://archive.org/details/sleepingbeauty0000unse_k5d5
"Read ""Stop Complaining, Chicken Little""",,Read,https://archive.org/details/stopcomplainingc0000coat
"Read ""The Three Little Mice""",,Read,https://archive.org/details/threelittlemice0000erli
"Read ""I Can Read About Paul Bunyan""",,Read,https://archive.org/details/icanreadaboutpau00ande/mode/2up
"Read ""I Can Read About Johnny Appleseed""",,Read,https://archive.org/details/johnnyappleseed0000ande
"Read ""Hello, House!""",,Read,https://archive.org/details/isbn_0833520008
"Read ""All Stuck Up""",,Read,https://archive.org/details/isbn_9780833543370
"Read ""Arthur's Reading Race""",,Read,https://archive.org/details/arthursreadingra0000brow
"Read ""Buster and the Giant Pumpkin""",,Read,https://archive.org/details/bustergiantpumpk00brow
"Read ""Buster's Sugartime""",,Read,https://archive.org/details/busterssugartime0000brow
"Read ""Wings on Things""",,Read,https://archive.org/details/wingsonthings0000brow_w5d9
"Read ""Big Pig and Little Pig""",,Read,https://archive.org/details/bigpiglittlepig00mcph
"Read ""A Bug, a Bear, and a Boy""",,Read,https://archive.org/details/bugbearandboy00mcph_0
"Read ""A Bug, a Bear, and a Boy""",,Read,https://archive.org/details/bugbearandboy00mcph_0
"Read ""The Day the Sheep Showed Up""",,Read,https://archive.org/details/isbn_9780758710994
"Read ""A Girl, a Goat, and a Goose""",,Read,https://archive.org/details/isbn_9780758750112
"Read ""Jack and Rick""",,Read,https://archive.org/details/isbn_9780756912185
"Read ""Pig Pig Goes to Camp""",,Read,https://archive.org/details/pigpiggoestocamp00mcph
"Read ""The Great Race""",,Read,https://archive.org/details/greatrace00mcph
"Read ""Pig Pig Rides""",,Read,https://archive.org/details/pigpigrides00mcph
"Read ""The Blue Door""",,Read,https://archive.org/details/bluedoorfoxrabbi0000mcph
"Read ""The Puddle""",,Read,https://archive.org/details/isbn_9780618061952/mode/2up
"Read ""Teeny Tiny""",,Read,https://archive.org/details/teenytiny00benn/mode/2up
"Read ""Biscuit Flies a Kite""",,Read,https://archive.org/details/biscuitmorephoni0000alys
"Read ""Biscuit and the Box""",,Read,https://archive.org/details/biscuitbox0000capu
"Read ""Biscuit and the Duck""",,Read,https://archive.org/details/biscuitduck0000capu_s4c1
"Read ""Surprise""",,Read,https://archive.org/details/isbn_9780516248004
"Read ""I am not a Dinosaur""",,Read,https://archive.org/details/iamnotdinosaur00pack
"Read ""I am King""",,Read,https://archive.org/details/iamkingmyfirstre0000mary
"Read ""Where is Jake?""",,Read,https://archive.org/details/whereisjakemyfir0000mary
"Read ""The Kite""",,Read,https://archive.org/details/isbn_9780516453552
"Read ""Little Chipmunk's Wiggly, Wobbly Tooth""",,Read,https://archive.org/details/littlechipmunksw0000pack
"Read ""Don't Make a Sound""",,Read,https://archive.org/details/dontmakesound0000pack
"Read ""My Messy Room""",,Read,https://archive.org/details/mymessyroom00pack
"Read ""Bubble Trouble""",,Read,https://archive.org/details/bubbletrouble00pack
"Read ""The Pet That I Want""",,Read,https://archive.org/details/petthatiwant00pack
"Read ""Moose and Mouse""",,Read,https://archive.org/details/moosemouse00mary
"Read ""Rooster's Surprise""",,Read,https://archive.org/details/roosterssurprise00vic_ssr
"Read ""Piglet and Mama""",,Read,https://archive.org/details/pigletmama00marg
"Read ""Harry and Hopper""",,Read,https://archive.org/details/harryhopper0000wild_c1p7
"Read ""Piglet and Granny""",,Read,https://archive.org/details/pigletgranny0000wild
"Read ""Hop, Little Hare!""",,Read,https://archive.org/details/hoplittlehare0000wild
"Read ""Lucy Goosey""",,Read,https://archive.org/details/lucygoosey0000wild
"Read ""The Pocket Dogs""",,Read,https://archive.org/details/pocketdogs0000wild_s5k0
